Symbol,Score
IVZINGOLD,25
LGBBROSLTD,25
LTIM,25
REFEX,25
CARERATING,25
PERSISTENT,25
RBLBANK,25
MEESHO,25
GPPL,25
DMART,25
OPTIEMUS,25
INDOFARM,25
MUTHOOTMF,25
LGEINDIA,25
HAPPYFORGE,25
KIRLOSENG,25
ZENSARTECH,25
KIRIINDUS,25
PRINCEPIPE,25
TITAGARH,25
NESCO,25
JAMNAAUTO,25
KMEW,25
IRB,25
SEPC,25
KICL,25
ERIS,25
AUBANK,25
JYOTICNC,25
SWIGGY,25
FINPIPE,25
ZFCVINDIA,25
ESCORTS,25
EPL,25
BLS,25
MOBIKWIK,25
GREENPOWER,25
BPCL,25
SENCO,25
ARMANFIN,25
URJA,25
JWL,25
SHANKARA,25
PATANJALI,25
RESPONIND,25
FLAIR,25
IDEAFORGE,25
NTPCGREEN,25
NEPHROPLUS,25
BBNPPGOLD,25
INOXINDIA,25
FEDERALBNK,25
SOLEX,25
ANTELOPUS,25
JAIBALAJI,25
POLYPLEX,25
COFORGE,25
TCS,25
PARAS,25
BANKBEES,25
KOTAKBANK,25
VIKRAN,25
LIQUIDETF,25
KSB,25
PVTBANIETF,25
PRSMJOHNSN,25
DHANBANK,25
PETRONET,25
PAYTM,25
MOLDTKPAC,25
PRAJIND,25
BAJAJHCARE,25
VISHNU,25
DREDGECORP,25
GOCOLORS,25
RMDRIP,25
ASIANENE,25
RIIL,25
WELENT,25
NARMADA,25
JAYBARMARU,25
CIGNITITEC,25
AEROENTER,25
STYLAMIND,25
ICIL,25
GMDCLTD,25
RHETAN,25
HGINFRA,25
GOLDIAM,25
ORIENTELEC,25
SURYODAY,25
ATHERENERG,25
GKENERGY,25
SWELECTES,25
JSWHL,25
APTUS,25
SHOPERSTOP,25
CHEMPLASTS,25
ALKEM,25
SUPRAJIT,25
LALPATHLAB,25
NSIL,25
INDIGO,25
CLEAN,25
AXISILVER,25
AVANTIFEED,25
MIDCAP,25
LUPIN,25
ARFIN,25
AWL,25
RHIM,25
AJANTPHARM,25
MANYAVAR,25
REGAAL,25
RAMASTEEL,25
TVSMOTOR,25
GMRP&UI,25
INDOBORAX,25
VRLLOG,25
ELLEN,25
NELCO,25
TTML,25
EMMVEE,25
DELHIVERY,25
ANUP,25
HEIDELBERG,25
ALLTIME,25
PROSTARM,25
MANGLMCEM,25
SILVERADD,25
INDIQUBE,25
PCBL,25
STCINDIA,25
TMB,25
HCLTECH,25
METROBRAND,25
TENNIND,25
STLNETWORK,25
NILASPACES,25
MONQ50,25
NAVKARCORP,25
SEAMECLTD,25
PNB,25
LOTUSDEV,25
CAPILLARY,25
MBEL,25
SHREERAMA,25
MOM30IETF,25
TCI,25
KRBL,25
ETERNAL,25
JSWSTEEL,25
WHEELS,25
SMLMAH,25
UNIPARTS,25
IIFLCAPS,25
HINDOILEXP,25
VIPIND,25
ENRIN,25
JAYKAY,25
MANALIPETC,25
DYNAMATECH,25
MPHASIS,25
AFSL,25
JUBLPHARMA,25
GEMAROMA,25
BOSCH-HCIL,25
ALKYLAMINE,25
LANDMARK,25
ELECON,25
SIEMENS,25
INFY,25
GULFOILLUB,25
TALBROAUTO,25
SANOFI,25
MWL,25
CANHLIFE,25
COMMOIETF,25
SHRIRAMFIN,25
BIRLANU,25
NBCC,25
ACE,25
SCI,25
TFCILTD,25
SUBROS,25
ASMS,25
IFCI,25
TIL,25
RBA,25
PHARMABEES,25
ICICIBANK,25
INOXGREEN,25
URBANCO,25
HATSUN,25
SUDEEPPHRM,25
INGERRAND,25
VAKRANGEE,25
FINIETF,25
REMSONSIND,25
SONACOMS,25
TATACHEM,25
GMRAIRPORT,25
TECHM,25
SWSOLAR,25
VOLTAMP,25
VOLTAS,22
NIACL,22
AUTOIETF,22
VESUVIUS,22
LAXMIINDIA,22
WOCKPHARMA,22
MONARCH,22
SANOFICONR,22
SWANCORP,22
TATACAP,22
AFCONS,22
INOXWIND,22
OBEROIRLTY,22
MSTCLTD,22
HONAUT,22
TNPETRO,22
E2E,22
MOMENTUM50,22
BRITANNIA,22
SANDHAR,22
BCG,22
PRIVISCL,22
GLOBECIVIL,22
SHAKTIPUMP,22
PAISALO,22
CHALET,22
RTNINDIA,22
ZYDUSLIFE,22
MID150BEES,22
WCIL,22
SWARAJENG,22
BLUESTONE,22
CONSUMBEES,22
PGEL,22
ADVANCE,22
SUPRIYA,22
HDFCLIFE,22
MEIL,22
GRAVITA,22
ONGC,22
KROSS,22
BAJAJHFL,22
ANANDRATHI,22
SGMART,22
AAVAS,22
RICOAUTO,22
ACUTAAS,22
APOLLOHOSP,22
SHREDIGCEM,22
APOLLOTYRE,22
GICRE,22
MINDACORP,22
LICI,22
GRSE,22
BANKBARODA,22
PIIND,22
NUVOCO,22
ATUL,22
GAIL,22
AUTOAXLES,22
EPIGRAL,22
BANKINDIA,22
DODLA,22
JINDALSAW,22
MIDWESTLTD,22
BSE500IETF,22
IRCON,22
IEX,22
KRISHNADEF,22
BALUFORGE,22
KRYSTAL,22
MOSMALL250,22
AVL,22
SANSERA,22
EMCURE,22
ICICIAMC,22
MOTHERSON,22
ZUARIIND,22
SOMANYCERA,22
KPEL,22
MAPMYINDIA,22
SHRIRAMPPS,22
BBETF0432,22
NATCOPHARM,22
GOCLCORP,22
ASHOKLEY,22
VSSL,22
PIDILITIND,22
STARHEALTH,22
MARICO,22
BSOFT,22
