Symbol,Score
AWHCL,37
XPROINDIA,37
WESTLIFE,37
EIMCOELECO,37
GOKEX,37
EIHOTEL,37
HINDZINC,37
SDBL,37
ACI,37
PGHH,37
HARSHA,37
BHAGCHEM,37
ARVINDFASN,37
SUPREMEIND,37
KALYANKJIL,37
ALLCARGO,37
WINDLAS,37
SURYAROSNI,37
SETFNIF50,37
ISGEC,37
MOL,37
ALIVUS,37
MOVALUE,37
SHREEPUSHK,37
SWELECTES,35
ADSL,35
GOLDCASE,35
BIRLANU,35
ELECTHERM,35
ITBEES,35
WINDMACHIN,35
JSFB,35
SMARTWORKS,35
SENSEXIETF,35
AGI,35
AUTOBEES,35
INOXWIND,35
MALLCOM,35
TRANSWORLD,35
CRIZAC,35
PREMIERPOL,35
NPST,35
MODEFENCE,35
MIDCAPIETF,35
DIVOPPBEES,35
TIL,35
SILGO,35
TCI,35
GODAVARIB,35
NEULANDLAB,35
KALPATARU,35
TOP100CASE,35
MASTEK,35
AWFIS,35
NESCO,35
HONAUT,35
LIQUIDETF,35
MOCAPITAL,35
YASHO,35
IPCALAB,35
FAZE3Q,35
BLUSPRING,35
ICICIB22,35
NFL,35
SHAREINDIA,35
MWL,35
KSHINTL,35
AEQUS,35
JAMNAAUTO,35
WANBURY,35
MOM100,35
NITINSPIN,35
EIFFL,35
ITETF,35
LOWVOLIETF,35
UTTAMSUGAR,35
IOLCP,35
SGFIN,35
ZEEMEDIA,35
NEXT50IETF,35
AEROENTER,35
IRCTC,35
TEAMLEASE,35
BSLGOLDETF,32
GREENPOWER,32
INFRAIETF,32
IRISDOREME,32
IVZINGOLD,32
NITCO,32
SHAKTIPUMP,32
MBEL,32
ALGOQUANT,32
HINDALCO,32
LTGILTBEES,30
SILVER1,30
NAZARA,30
HDFCSILVER,30
CHOICEGOLD,30
MIDSMALL,30
PDSL,30
SILVERBEES,30
TRITURBINE,30
TATAGOLD,30
LICNETFGSC,30
SBISILVER,30
GROWWSLVR,30
SILVER,30
DPABHUSHAN,30
CPSEETF,30
SMALLCAP,30
SILVERAG,30
DECCANCE,30
JAICORPLTD,25
SWARAJENG,25
UNIVCABLES,25
ANTELOPUS,25
STYLEBAAZA,25
BANSALWIRE,25
SUDARSCHEM,25
KICL,25
RAYMONDLSL,25
DHANUKA,25
ASHIANA,25
APTUS,25
KRSNAA,25
METALIETF,25
BBOX,25
HAPPYFORGE,25
UGROCAP,25
INOXINDIA,25
RPEL,25
SUNCLAY,25
RELTD,25
TNPETRO,25
SUNFLAG,25
OILIETF,25
TORNTPHARM,25
TATACHEM,25
TATVA,25
CEIGALL,25
MPHASIS,25
TEJASNET,25
JUBLPHARMA,25
CUBEXTUB,25
MOTHERSON,25
ICICIBANK,25
FDC,25
SUBROS,25
JUNIPER,25
SHRIRAMFIN,25
APEX,25
INDRAMEDCO,25
CONCOR,25
MATRIMONY,25
SKMEGGPROD,25
CAPACITE,25
LIQUIDCASE,25
ICICIGI,25
RPTECH,25
SONACOMS,25
JAGSNPHARM,25
HERITGFOOD,25
RAMCOIND,25
ALKYLAMINE,25
BOSCH-HCIL,25
MAXHEALTH,25
PHARMABEES,25
NEXT50BETA,25
GREENPLY,25
SUMMITSEC,25
VESUVIUS,25
ETERNAL,25
VOLTAS,25
RITES,25
WSTCSTPAPR,25
ZUARIIND,25
ITIETF,25
MID150CASE,25
VARROC,25
AUBANK,25
JYOTICNC,25
GOPAL,25
AADHARHFC,25
CLEAN,25
HATSUN,25
JNKINDIA,25
AVADHSUGAR,25
AIIL,25
TARACHAND,25
TNPL,25
SCILAL,25
OPTIEMUS,25
ACE,25
NTPCGREEN,25
JTEKTINDIA,25
PICCADIL,25
DABUR,25
BLUESTONE,25
DALMIASUG,25
DCW,25
DHAMPURSUG,25
KHAICHEM,25
ORCHPHARMA,25
RHETAN,25
ESABINDIA,25
GKENERGY,25
SUBEXLTD,25
SCHAEFFLER,25
FEDERALBNK,25
FINPIPE,25
STLNETWORK,25
ZENSARTECH,25
MEIL,25
ARFIN,25
REGAAL,25
GICHSGFIN,25
GIPCL,25
GLAXO,25
AMBER,25
GRASIM,25
GREAVESCOT,25
PROSTARM,25
GSFC,25
GUJALKALI,25
INDIQUBE,25
SYSTMTXC,25
SOLEX,25
CIPLA,25
SUDEEPPHRM,25
ACC,25
AMAGI,25
BHARATCOAL,25
AEGISLOG,25
